Country;AREA;POPTL;POPGR;POPDN;LIFEXP;FERTR;MRTCH;SCHCNT;URBGR;GDPGR;INFLT;GNIPK;GDPTL;TAXTL;AGRVL;INDVL;SRVVL;ENGRU;MOBIL
ALBN;28750;2889104;-0,2;105,4;77,8;1,8;14,4;96,4;1,6;1,8;1,4;4450;13219857459,1;18,3;22,9;24,6;52,4;808,5;105,5
AUST;83879;8541575;0,7;103,5;81,5;1,5;3,7;99,3;0,8;0,6;1,8;50150;438376178526,3;26,6;1,4;28,3;70,4;3765,4;151,9
BLRS;207600;9474511;0,1;46,7;73;1,7;4,7;107;0,6;1,7;18,1;7600;78813049849,6;12,7;8,3;40,1;51,7;2928,5;122,5
BELG;30530;11209057;0,2;370,2;81,3;1,7;4,2;164,8;0,3;1,6;0,7;46930;531750903174,7;26,2;0,7;22;77,3;4708,2;114,3
BOSN;51210;3566002;-1,1;69,6;76,4;1,3;5,7;92,1;-0,8;1,1;1;5160;18521475376,5;19,8;7,2;26,8;65,9;2194,1;91,3
BULG;111000;7223938;-0,6;66,5;74,5;1,5;10,9;100,9;-0,1;1,3;0,5;7720;56732006512;19,6;5,3;27,1;67,6;2477,7;132,4
CRAT;56590;4238389;-0,4;75,7;77,5;1,5;4,5;99;0,1;-0,5;0;13150;57080369367,8;19,3;4,1;26,6;69,2;1897,8;104,4
CYPR;9250;1152309;0,7;124,7;80,1;1,4;2,9;99,4;0,6;-1,5;-1,5;26500;23308212816,8;24,4;2,1;10,7;87,2;1712,1;96,3
CZCH;78870;10525347;0,1;136,3;78,8;1,5;3,5;105,1;0;2,7;2,5;18790;207818330723,8;13,3;2,7;37,9;59,4;3915,1;129,5
DENM;42922;5643475;0,5;133,5;80,7;1,7;3,6;129,9;0,7;1,7;0,8;63640;352296969840,9;36,9;1,6;22,5;75,9;2872,6;127
ESTN;45230;1314545;-0,3;31;77;1,5;3,2;110,4;-0,4;2,8;1,7;18790;26213940386,8;1,3;3,6;28,6;67,8;4592,6;147,8
FINL;338420;5461512;0,4;18;81,2;1,7;2,4;145,5;0,6;-0,6;1,7;48990;272609288689,6;20,8;2,8;26,8;70,4;6213,4;139,7
FRAN;549087;66331957;0,5;121,1;82,7;2;4,4;110,6;0,8;0,9;0,6;42750;2849305322684,8;23,2;1,7;19,6;78,7;3658;101,2
GERM;357380;80982500;0,4;232,1;81,1;1,5;3,8;102,4;0,7;1,6;1,8;47680;3879276587198,9;11,5;0,8;30,5;68,7;3779,5;120,4
GERC;131960;10892413;-0,7;84,5;81,4;1,3;4,6;106,5;-0,2;0,4;-1,8;22000;236079774688,4;24,5;3,7;15,9;80,3;2123,9;109,1
HUNG;93030;9866468;-0,3;109;75,8;1,4;6,1;107;0,4;4;3,4;13460;139294565100,6;23,1;4,7;30,8;64,5;2314,5;118,1
ICLD;103000;327386;1,1;3,3;82,9;1,9;2,1;108,2;1,2;1,9;4,1;48160;17178962757,4;25,5;6,2;23,2;70,6;17916,1;111,1
IRLD;70280;4617225;0,4;67;81,3;1,9;3,7;127,2;0,9;8,5;-1,2;47040;256271345442,6;23,3;1,5;26,7;71,9;2765,6;105
ITAL;301340;60789140;0,9;206,7;83,1;1,4;3,6;102,6;1,1;0,1;1;34760;2151732834411,5;23,5;2,2;23,4;74,5;2414,5;154,3
LATV;64490;1993782;-0,9;32,1;74,1;1,6;8,2;115,4;-1;2,1;1,6;15330;31352249349,6;21,1;3,5;23,2;73,3;2176,8;116,8
LITH;65286;2932367;-0,9;46,8;74,5;1,6;5,2;106,8;-0,9;3,5;1;16030;48545251795,6;4,6;3,8;30,4;65,8;2387,3;141,9
LUXM;2590;556319;2,4;214,8;82,2;1,5;2;102,3;2,7;5,6;1,6;76900;66298060521,8;25,6;0,3;12,9;86,8;6861,1;149,5
MACD;25710;2077495;0,1;82,4;75,3;1,5;6;78,6;0,2;3,6;1,4;5200;11362272837,9;19,8;11,7;26,3;62;1262,6;105,5
MOLD;33850;3556397;-0,1;123,9;71,5;1,3;16,1;87,3;0;4,8;6,4;2560;7983271110,6;19,8;15,5;17,2;67,3;928,3;108
MONT;13810;621810;0,1;46,2;76,2;1,7;5;93,8;0,4;1,8;1;7320;4587928884,2;19,9;10;17,7;72,3;1538,3;163
NETH;41540;16865008;0,4;500,6;81,7;1,7;3,9;132,3;1,1;1,4;0,1;51330;879635084125;20,9;1,8;20,5;77,7;4325,5;116,4
NORW;385178;5137232;1,1;14,1;82,1;1,8;2,7;112,6;1,5;1,9;0,3;104860;498339751388,5;23,5;1,6;38,1;60,3;5595,7;112,7
POLD;312680;38011735;-0,1;124,1;77,6;1,3;5,2;108,1;-0,2;3,3;0,5;13630;545151778520,4;15,5;2,9;33,2;63,8;2473,4;148,9
